,Community Area,name,population,income,latinos,blacks,white,asian,other
0,1,Rogers Park,54991.0,39482,0.244,0.263,0.393,0.064,0.036
1,2,West Ridge,71942.0,47323,0.204,0.111,0.427,0.225,0.032
2,3,Uptown,56362.0,40324,0.142,0.2,0.516,0.114,0.028
3,4,Lincoln Square,39493.0,57749,0.191,0.038,0.631,0.111,0.029
4,5,North Center,31867.0,81524,0.136,0.023,0.773,0.045,0.022
5,6,Lake View,94368.0,70746,0.076,0.039,0.804,0.06,0.021
6,7,Lincoln Park,64116.0,82707,0.056,0.043,0.829,0.051,0.021
7,8,Near North Side,80484.0,76290,0.049,0.108,0.721,0.101,0.02
8,9,Edison Park,11187.0,77678,0.078,0.003,0.884,0.024,0.012
9,10,Norwood Park,37023.0,64477,0.12,0.004,0.815,0.046,0.015
10,11,Jefferson Park,25448.0,60592,0.194,0.01,0.687,0.089,0.021
11,12,Forest Glen,18508.0,87394,0.115,0.007,0.746,0.107,0.024
12,13,North Park,17931.0,53305,0.18,0.032,0.493,0.257,0.038
13,14,Albany Park,51542.0,46198,0.494,0.04,0.292,0.144,0.029
14,15,Portage Park,64124.0,52356,0.388,0.013,0.535,0.046,0.017
15,16,Irving Park,53359.0,54048,0.456,0.033,0.417,0.07,0.025
16,17,Dunning,41932.0,61584,0.238,0.007,0.704,0.038,0.013
17,18,Montclare,13426.0,47460,0.54,0.045,0.375,0.028,0.012
18,19,Belmont Cragin,78743.0,42842,0.789,0.032,0.152,0.02,0.008
19,20,Hermosa,25010.0,42418,0.874,0.03,0.076,0.012,0.007
20,21,Avondale,39262.0,46519,0.644,0.025,0.284,0.03,0.016
21,22,Logan Square,72791.0,49610,0.512,0.054,0.392,0.025,0.017
22,23,Humboldt Park,56323.0,29605,0.533,0.409,0.044,0.004,0.009
23,24,West Town,82236.0,60720,0.291,0.078,0.572,0.038,0.022
24,25,Austin,98514.0,32358,0.089,0.851,0.044,0.006,0.01
25,26,West Garfield Park,18001.0,23033,0.019,0.962,0.007,0,0.011
26,27,East Garfield Park,20567.0,24488,0.041,0.909,0.034,0.004,0.012
27,28,Near West Side,54881.0,62770,0.092,0.315,0.42,0.146,0.027
28,29,North Lawndale,35912.0,25797,0.06,0.914,0.014,0.002,0.01
29,30,South Lawndale,79288.0,33593,0.826,0.131,0.039,0.001,0.004
30,31,Lower West Side,35769.0,34573,0.824,0.031,0.124,0.01,0.01
31,32,Loop,29283.0,78124,0.069,0.115,0.627,0.159,0.031
32,33,Near South Side,21390.0,75995,0.056,0.281,0.481,0.155,0.027
33,34,Armour Square,13391.0,27619,0.035,0.106,0.123,0.726,0.011
34,35,Douglas,18238.0,32805,0.025,0.726,0.099,0.127,0.022
35,36,Oakland,5918.0,20800,0.015,0.941,0.021,0.006,0.018
36,37,Fuller Park,2876.0,15086,0.046,0.922,0.016,0.002,0.014
37,38,Grand Boulevard,21929.0,28040,0.018,0.941,0.018,0.003,0.02
38,39,Kenwood,17841.0,39371,0.03,0.719,0.165,0.055,0.032
39,40,Washington Park,11717.0,21899,0.009,0.97,0.007,0.001,0.012
40,41,Hyde Park,25681.0,45335,0.063,0.304,0.467,0.124,0.041
41,42,Woodlawn,23740.0,27413,0.021,0.868,0.068,0.023,0.02
42,43,South Shore,52010.0,27903,0.017,0.949,0.014,0.002,0.018
43,44,Chatham,31028.0,32057,0.01,0.972,0.004,0.001,0.013
44,45,Avalon Park,10185.0,46903,0.015,0.957,0.008,0.002,0.018
45,46,South Chicago,31198.0,31164,0.217,0.747,0.019,0.002,0.015
46,47,Burnside,2916.0,32553,0.007,0.977,0.007,0,0.01
47,48,Calumet Heights,13812.0,55669,0.041,0.934,0.009,0.002,0.014
48,49,Roseland,44619.0,40142,0.01,0.974,0.004,0.001,0.011
49,50,Pullman,7325.0,40059,0.078,0.836,0.071,0.001,0.014
50,51,South Deering,15109.0,38594,0.318,0.619,0.048,0.001,0.013
51,52,East Side,23042.0,41196,0.784,0.034,0.172,0.002,0.007
52,53,West Pullman,29651.0,39601,0.051,0.931,0.006,0,0.012
53,54,Riverdale,6482.0,13380,0.02,0.964,0.005,0,0.01
54,55,Hegewisch,9426.0,49924,0.496,0.039,0.449,0.005,0.011
55,56,Garfield Ridge,34513.0,61206,0.392,0.059,0.532,0.01,0.007
56,57,Archer Heights,13393.0,42571,0.76,0.01,0.215,0.01,0.005
57,58,Brighton Park,45368.0,39289,0.853,0.012,0.081,0.05,0.004
58,59,McKinley Park,15612.0,42327,0.648,0.015,0.171,0.157,0.01
59,60,Bridgeport,31977.0,42382,0.27,0.021,0.351,0.345,0.013
60,61,New City,44377.0,32222,0.573,0.296,0.106,0.016,0.008
61,62,West Elsdon,18109.0,51003,0.79,0.014,0.179,0.012,0.004
62,63,Gage Park,39894.0,38855,0.892,0.054,0.047,0.003,0.003
63,64,Clearing,23139.0,54123,0.453,0.012,0.515,0.009,0.01
64,65,West Lawn,33355.0,46891,0.8,0.042,0.148,0.006,0.005
65,66,Chicago Lawn,55628.0,37779,0.452,0.493,0.043,0.003,0.009
66,67,West Englewood,35505.0,26654,0.022,0.963,0.004,0.001,0.011
67,68,Englewood,30654.0,19743,0.011,0.974,0.003,0.001,0.011
68,69,Greater Grand Crossing,32602.0,29663,0.012,0.969,0.006,0.001,0.013
69,70,Ashburn,41081.0,62238,0.368,0.462,0.152,0.007,0.011
70,71,Auburn Gresham,48743.0,34767,0.009,0.978,0.003,0.001,0.009
71,72,Beverly,20034.0,83092,0.046,0.341,0.588,0.006,0.019
72,73,Washington Heights,26493.0,42053,0.01,0.974,0.005,0,0.012
73,74,Mount Greenwood,19093.0,80505,0.072,0.052,0.86,0.007,0.01
74,75,Morgan Park,22544.0,56886,0.027,0.667,0.287,0.004,0.014
75,76,O'Hare,12756.0,49601,0.095,0.032,0.772,0.083,0.019
76,77,Edgewater,56521.0,43331,0.165,0.143,0.547,0.116,0.029
